cluster,difficulty_level,total_notes,bpm,duration_seconds,pca_x,pca_y,n_l,n_m,n_mu,n_var,l_4,l_8,l_12,l_16,l_24,l_32,l_oth,t_l,t_s,t_f,t_mu,total_notes_svg,total_notes_csv,notes_mapped_by_beatlines,notes_mapped_fallback
0,11.887949260042284,339.9344608879493,111.97405581395348,126.93868921775899,-2.4441465057209903,-1.1284175808857766,0.0,120.16279069767442,7.021411336464673,271.7501567295428,0.9992645337079943,0.00043808393876179446,0.00029738235324391617,0.0,0.0,0.0,0.0,153.39746300211416,153.39746300211416,153.39746300211416,8.555755811729394,894.4080338266385,681.200845665962,484.31501057082454,410.09302325581393
1,22.007481296758105,830.9526184538653,178.8254114713217,123.01995012468828,0.989849704721241,0.8381043316216789,0.0,123.43890274314215,7.136934990451106,283.7292510398307,0.9988891865267314,0.000528444725952416,0.0005823687473161022,0.0,0.0,0.0,0.0,156.76558603491273,156.76558603491273,156.76558603491273,8.776639516925691,886.6733167082294,687.7381546134663,476.44389027431424,410.2294264339152
2,25.72205438066465,926.5105740181269,131.68754546827796,128.202416918429,0.693350705522246,-1.5313128988039204,0.0,124.09969788519638,7.1754997243387235,288.4788440575979,0.9989388405664672,0.0004329530264312878,0.0006282064071014491,0.0,0.0,0.0,0.0,157.36404833836858,157.36404833836858,157.36404833836858,9.072595374079105,911.6767371601209,702.8716012084592,474.2069486404834,437.46978851963746
3,11.497674418604651,422.7581395348837,196.72813953488372,125.0093023255814,-0.6024462776082852,2.5113336767611973,0.0,124.14186046511628,7.125199854976895,285.692591275483,0.9993272786794365,0.00025210599972430456,0.0004206153208391712,0.0,0.0,0.0,0.0,156.7906976744186,156.7906976744186,156.7906976744186,9.048446987894756,902.0488372093023,694.9930232558139,474.24651162790695,427.80232558139534
4,34.77777777777778,2021.888888888889,191.94444444444446,136.11111111111111,11.670951551535472,-3.385615411481094,0.0,158.33333333333334,7.84504340142014,443.16600792305456,0.9991179912783313,0.0005131451182120826,0.00036886360345661745,0.0,0.0,0.0,0.0,157.22222222222223,157.22222222222223,157.22222222222223,9.43937724445373,1059.888888888889,805.7777777777778,612.8888888888889,447.0
5,14.9,479.0,116.1,126.0,-1.9903687675982293,-3.895731407191228,0.0,161.7,8.45282030445912,368.3622671377471,1.0,0.0,0.0,0.0,0.0,0.0,0.0,159.8,159.8,159.8,8.04865831251348,1119.5,845.5,626.1,493.4
6,22.35,698.85,115.334375,119.4375,-0.7371345790791666,-2.5091150908066715,0.0,125.35,7.060515023463689,259.40957807410507,0.999238276966649,0.00022531022020772586,0.0005364128131433487,0.0,0.0,0.0,0.0,155.6875,155.6875,155.6875,9.629346771272292,902.0875,695.275,494.975,407.1125
7,31.00943396226415,1469.632075471698,173.16509433962264,136.93396226415095,4.7792785592036875,-1.23919000891223,0.0,129.3679245283019,7.453159856966105,290.4805269798283,0.9987827127512903,0.0004865765966354175,0.0007307106520743823,0.0,0.0,0.0,0.0,151.27358490566039,151.27358490566039,151.27358490566039,9.827038889075009,942.8018867924528,700.8207547169811,516.0849056603773,426.7169811320755
8,11.132890365448505,358.57475083056477,148.68797342192693,123.78571428571429,-1.703218308004388,0.4883964501007853,0.0,117.79568106312293,6.901951876497202,269.74756206515934,0.9990086207607741,0.0005038441400147572,0.00048753509921116976,0.0,0.0,0.0,0.0,152.3704318936877,152.3704318936877,152.3704318936877,8.423961558209989,873.1063122923588,668.8887043189369,463.4933554817276,409.6129568106312
9,28.671779141104295,1223.2116564417179,196.28803680981596,129.83742331288343,3.226303932853355,0.7331713951023274,0.0,125.92944785276073,7.401847513712971,302.95302870470334,0.9989549886720996,0.00038070683972927475,0.0006643044881710856,0.0,0.0,0.0,0.0,153.86196319018404,153.86196319018404,153.86196319018404,8.507793502373815,924.1871165644171,699.4355828220858,509.81595092024537,414.37116564417175
