cluster,difficulty_level,total_notes,bpm,duration_seconds,pca_x,pca_y,n_l,n_m,n_mu,n_var,l_4,l_8,l_12,l_16,l_24,l_32,l_oth,t_l,t_s,t_f,t_mu,total_notes_svg,total_notes_csv,notes_mapped_by_beatlines,notes_mapped_fallback
0,9.916666666666666,259.55357142857144,98.9672619047619,126.0297619047619,-3.040265619692918,-1.5272042162300674,0.0,128.42261904761904,7.510149062237001,306.1228219277297,0.9992699286334747,0.0003621564506967702,0.00036791491582854495,0.0,0.0,0.0,0.0,153.67857142857142,153.67857142857142,153.67857142857142,8.737691491061812,955.8571428571429,714.2440476190476,513.0357142857143,442.82142857142856
1,21.443768996960486,805.1823708206687,181.22337386018236,122.23404255319149,0.9023742399733913,1.0062425796112782,0.0,116.7112462006079,6.849549690978118,256.54981166423903,0.9992321125242937,0.0004948105349686255,0.0002730769407376876,0.0,0.0,0.0,0.0,153.70212765957447,153.70212765957447,153.70212765957447,8.389887526708932,873.6048632218844,672.8632218844984,476.2948328267477,397.3100303951368
2,18.646103896103895,630.5487012987013,137.13314415584415,125.18506493506493,-0.7135309723962469,-0.5877064036086705,0.0,123.31493506493507,7.167172280346465,286.0375225666113,0.9988514063909573,0.000559100046654289,0.0005894935623884589,0.0,0.0,0.0,0.0,157.75324675324674,157.75324675324674,157.75324675324674,8.831201639504226,883.8928571428571,685.0844155844156,474.43831168831167,409.45454545454544
3,12.121019108280255,480.8407643312102,215.07388535031845,128.21656050955414,-0.05538264298527293,3.222106721228732,0.0,127.10191082802548,7.245528629844902,284.6846756714291,0.998102313721915,0.0006621423975307983,0.0012355438805541532,0.0,0.0,0.0,0.0,154.70063694267515,154.70063694267515,154.70063694267515,9.424968793405943,918.3375796178344,704.828025477707,488.28025477707007,430.05732484076435
4,35.125,2101.125,194.0625,137.25,11.016242187285822,-2.9718729142425877,0.0,121.0,6.513967838383389,246.76617965313145,0.9983108108108109,0.0006756756756756757,0.0010135135135135136,0.0,0.0,0.0,0.0,152.25,152.25,152.25,11.528166046752718,814.5,670.75,470.875,343.625
5,12.0,351.0,117.0,126.25,-2.7465382220763557,-3.7031138212021935,0.0,124.0,8.902316876195819,278.8007595247058,0.9994464644901748,0.00010869565217391305,0.00044483985765124553,0.0,0.0,0.0,0.0,169.75,169.75,169.75,7.135419460935376,1144.25,821.625,583.125,561.125
6,18.728813559322035,525.0508474576271,116.1292372881356,114.10169491525424,-1.4982408158201166,-1.7219896709375953,0.0,105.0677966101695,6.066222478900381,227.1731260762973,0.9992340930433753,0.0003040233596144537,0.00046188359701033316,0.0,0.0,0.0,0.0,149.23728813559322,149.23728813559322,149.23728813559322,9.124782361412391,769.4067796610169,585.5762711864406,411.1186440677966,358.2881355932203
7,32.50909090909091,1656.3272727272727,201.53636363636363,136.54545454545453,6.215413069183668,-0.4020072940703369,0.0,122.36363636363636,7.382181691812196,266.93330613151863,0.999478016671975,0.00019766851495591742,0.0003243148130691197,0.0,0.0,0.0,0.0,161.43636363636364,161.43636363636364,161.43636363636364,7.985618319756362,918.8909090909091,714.8181818181819,493.41818181818184,425.4727272727273
8,10.537897310513447,358.73838630806847,177.7277750611247,123.60880195599022,-1.1936934696389663,1.7857514811064048,0.0,122.0122249388753,6.998886622312728,289.07115694634047,0.9991744794577285,0.0003652231073809908,0.00046029743489053653,0.0,0.0,0.0,0.0,158.59657701711492,158.59657701711492,158.59657701711492,9.01269066546666,890.2591687041564,692.7286063569683,458.2518337408313,432.0073349633252
9,25.650602409638555,1098.6746987951808,229.00481927710845,126.80722891566265,3.1885642880080503,2.472340408450472,0.0,133.24096385542168,7.506744322005451,301.6182443524653,0.998981901071137,0.0004149190373645277,0.000603179891498452,0.0,0.0,0.0,0.0,148.72289156626505,148.72289156626505,148.72289156626505,9.124419497601407,967.6867469879518,740.8674698795181,506.67469879518075,461.0120481927711
10,24.421768707482993,757.5510204081633,101.89115646258503,126.45578231292517,-0.6002397708631226,-2.525190990965205,0.0,130.91156462585033,7.631925737009167,320.89261560263236,0.9996603707310681,0.000167516959139657,0.00017211230979240213,0.0,0.0,0.0,0.0,160.0612244897959,160.0612244897959,160.0612244897959,8.416128981245706,960.1020408163265,734.1768707482993,489.3673469387755,470.734693877551
11,28.833898305084745,1222.4949152542372,185.12542372881356,129.98983050847457,3.0430333918734043,0.22481009167329477,0.0,127.62372881355932,7.227043521588255,289.5983996540197,0.999198384928461,0.00027604510463792174,0.0005255699669010966,0.0,0.0,0.0,0.0,157.6677966101695,157.6677966101695,157.6677966101695,9.575197080600416,922.6169491525424,707.8542372881356,498.9898305084746,423.6271186440678
12,28.824,1193.328,134.3004136,138.0,2.4451929498652727,-2.198600893488463,0.0,125.144,7.013454703534184,272.20763507392064,0.9989390891502137,0.0003522308240924001,0.0007086800256939478,0.0,0.0,0.0,0.0,152.416,152.416,152.416,9.692039135165063,889.288,673.12,478.208,411.08
13,32.0,1388.0,175.0,127.0,16.908626465532663,-6.695555389389146,0.0,107.0,3.8278688524590163,99.17528890083311,0.9914346895074947,0.008565310492505354,0.0,0.0,0.0,0.0,0.0,80.0,80.0,80.0,7.377049180327869,467.0,318.0,305.0,162.0
14,22.866666666666667,737.4,115.14166666666667,121.11666666666666,-0.562286746653418,-2.7372659155939707,0.0,95.7,5.906489073274952,183.65027530542187,0.9989771773118081,0.0007730317661323753,0.00024979092205950005,0.0,0.0,0.0,0.0,149.81666666666666,149.81666666666666,149.81666666666666,8.43357052249372,739.3833333333333,576.6666666666666,399.1,340.28333333333336
15,9.211155378486056,280.8426294820717,136.55457509960158,126.05776892430279,-2.2641406312434267,0.11338411815121428,0.0,121.73306772908367,7.15218147942436,278.0545071724117,0.9991016999435792,0.0004094840955377258,0.0004888159608830031,0.0,0.0,0.0,0.0,152.32868525896416,152.32868525896416,152.32868525896416,8.29513803051705,905.6533864541833,690.7111553784861,481.55378486055776,424.0996015936255
16,26.5012987012987,968.4337662337663,140.33000441558443,127.35324675324675,0.9990265365899048,-1.2054226337418823,0.0,123.02597402597402,7.176029817145975,298.670851394126,0.99885819563397,0.0004844083467656347,0.0006573960192642393,0.0,0.0,0.0,0.0,153.35324675324676,153.35324675324676,153.35324675324676,8.6653859304527,897.0467532467533,681.1844155844155,491.94805194805195,405.0987012987013
