cluster,difficulty_level,total_notes,bpm,duration_seconds,pca_x,pca_y,n_l,n_m,n_mu,n_var,l_4,l_8,l_12,l_16,l_24,l_32,l_oth,t_l,t_s,t_f,t_mu,total_notes_svg,total_notes_csv,notes_mapped_by_beatlines,notes_mapped_fallback
0,11.384790011350738,343.8751418842225,126.83680862656072,125.87400681044268,-2.1647330082265137,-0.45777905155825144,0.0,121.23269012485811,7.049581794909759,275.7630764327003,0.9990995326232698,0.0004757321658810983,0.000424735210849182,0.0,0.0,0.0,0.0,155.06356413166856,155.06356413166856,155.06356413166856,8.64928274350725,887.3700340522134,682.3586833144154,478.4018161180477,408.9682179341657
1,23.73894736842105,921.36,188.99802105263157,123.62315789473685,1.6121387540584802,1.0882971247236162,0.0,124.92421052631579,7.335394562855972,289.59754806202847,0.9988529981426972,0.0004597565266763672,0.0006872453306263711,0.0,0.0,0.0,0.0,157.46315789473684,157.46315789473684,157.46315789473684,9.052201348360285,928.1747368421053,714.4336842105263,486.26947368421054,441.90526315789475
2,25.442253521126762,917.2788732394366,133.1319085915493,127.98169014084507,0.6768344468391505,-1.4429974281853934,0.0,125.22957746478873,7.0819801079635525,287.636885435465,0.9992735102087532,0.00028067500970171256,0.00044581478154514663,0.0,0.0,0.0,0.0,156.63661971830984,156.63661971830984,156.63661971830984,9.138347709816738,902.7056338028169,694.9549295774648,475.0422535211268,427.66338028169014
3,11.515297906602255,407.7278582930757,185.84797101449274,123.90499194847021,-0.8448555367192901,2.05077876726476,0.0,120.92109500805152,7.111376907909716,272.8034230420854,0.9990628041706971,0.00044176076714057223,0.0004954350621623515,0.0,0.0,0.0,0.0,152.2866344605475,152.2866344605475,152.2866344605475,8.594845984551124,900.7020933977456,684.4685990338164,481.96779388083735,418.7342995169082
4,34.75,2034.0,200.0,137.08333333333334,11.065649287483465,-2.725911334298868,0.0,120.33333333333333,7.267177542234406,298.9843024557786,0.9972711400310321,0.001373498006091602,0.0013553619628762583,0.0,0.0,0.0,0.0,165.0,165.0,165.0,7.640440282317518,887.5833333333334,704.25,466.6666666666667,420.9166666666667
5,14.9,479.0,116.1,126.0,-1.9903687675982293,-3.895731407191228,0.0,123.9,6.49653863087064,331.2682333624659,0.9992029774872911,6.17283950617284e-05,0.0007352941176470588,0.0,0.0,0.0,0.0,154.3,154.3,154.3,7.7141453216001326,810.1,651.6,383.4,426.7
6,21.85,664.51,112.4475,118.82,-0.92053605302222,-2.49213566545502,0.0,113.44,6.657572494782246,274.91713269600336,0.9988464651792648,0.0007486882087716496,0.00040484661196357714,0.0,0.0,0.0,0.0,154.22,154.22,154.22,9.825868461960088,811.4,625.13,428.24,383.16
7,30.117241379310343,1371.4689655172415,186.74310344827586,135.11379310344827,4.015986912569192,-0.14400487466098055,0.0,125.6655172413793,7.3025814708059285,303.341979711675,0.998867421357078,0.0003886213930648443,0.0007439572498573066,0.0,0.0,0.0,0.0,152.65862068965518,152.65862068965518,152.65862068965518,8.236421100270947,920.5172413793103,696.4655172413793,510.34137931034485,410.1758620689655
