cluster,difficulty_level,total_notes,bpm,duration_seconds,pca_x,pca_y,n_l,n_m,n_mu,n_var,l_4,l_8,l_12,l_16,l_24,l_32,l_oth,t_l,t_s,t_f,t_mu,total_notes_svg,total_notes_csv,notes_mapped_by_beatlines,notes_mapped_fallback
0,11.580434782608696,348.79891304347825,126.12687869565217,125.4608695652174,-2.163687202222948,-0.5489022346903835,0.0,122.14673913043478,7.113407814885134,277.3683173881727,0.9990259362285421,0.0005369419624404369,0.00043712180901742754,0.0,0.0,0.0,0.0,154.9217391304348,154.9217391304348,154.9217391304348,8.752646939501405,896.5184782608695,687.9826086956522,483.3945652173913,413.12391304347824
1,29.633431085043988,1313.6891495601174,188.0284457478006,133.17008797653958,3.682787707033031,0.07817028494909009,0.0,126.69794721407625,7.371460895467761,301.4970491897292,0.9990044740353792,0.0002719788001207874,0.0007235471645001542,0.0,0.0,0.0,0.0,159.72434017595307,159.72434017595307,159.72434017595307,8.908107838022097,937.6774193548387,724.7184750733138,486.82111436950146,450.85630498533726
2,22.950431034482758,878.7370689655172,185.95443965517242,122.92672413793103,1.3447689592186705,1.0515498521382292,0.0,122.15517241379311,7.009858533453394,284.5508914253079,0.9992343048940879,0.00033747065817551,0.0004282244477365726,0.0,0.0,0.0,0.0,156.125,156.125,156.125,8.811054404409957,885.9719827586207,683.5172413793103,458.4935344827586,427.4784482758621
3,25.462466487935657,909.2077747989276,129.9717226541555,127.85254691689008,0.5871752201200403,-1.6347387652314493,0.0,122.41152815013405,7.035184649316337,273.304141334697,0.9991950563019886,0.00035979054311908976,0.0004451531548923339,0.0,0.0,0.0,0.0,154.15281501340482,154.15281501340482,154.15281501340482,8.924394558063002,900.1608579088472,691.2761394101876,480.4959785522788,419.66487935656835
4,11.264462809917354,397.59834710743803,185.84312396694213,124.06446280991736,-0.8909663598095868,2.0719395426470006,0.0,123.1190082644628,7.228514953208352,292.9052971941617,0.9988178587944836,0.0004972726198989906,0.0006848685856173291,0.0,0.0,0.0,0.0,152.6710743801653,152.6710743801653,152.6710743801653,8.717798651932611,899.1818181818181,678.3487603305786,492.42314049586776,406.75867768595043
5,34.26086956521739,1870.8260869565217,199.2391304347826,134.2608695652174,9.20829366715807,-1.8953672644956345,0.0,111.08695652173913,6.215882535363398,234.21946755463156,0.9993963975955593,0.00013973585213748752,0.00046386655230310934,0.0,0.0,0.0,0.0,156.69565217391303,156.69565217391303,156.69565217391303,7.613910620359636,808.4347826086956,657.5652173913044,411.0,397.4347826086956
