cluster,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0,70,185,75,15,5,6,72,158,85,9,10,69,87,59,7,1,8,8,7,3,4,8,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,2,9,22,43,40,40,31,61,75,85,28,18,10,11,6,8,1
2,0,1,55,105,88,1,3,73,124,52,10,5,67,100,49,12,5,1,4,14,17,9,3,5,3,1,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,6,26,47,17,9,1,15,67,114,95,89,71,113,99,41,22,10,3,0,0,0,0,0
