cluster,difficulty_level,total_notes,bpm,duration_seconds,pca_x,pca_y,n_l,n_m,n_mu,n_var,l_4,l_8,l_12,l_16,l_24,l_32,l_oth,t_l,t_s,t_f,t_mu,total_notes_svg,total_notes_csv,notes_mapped_by_beatlines,notes_mapped_fallback
0,9.231083844580777,280.7852760736196,135.7349625766871,126.14723926380368,-2.279969148053294,0.07507378679351562,0.0,120.34151329243353,7.049599372525787,273.11904373325575,0.9992661193692616,0.00042622867944059305,0.00030765195129778494,0.0,0.0,0.0,0.0,153.68507157464214,153.68507157464214,153.68507157464214,8.5277134033614,898.5562372188139,685.0347648261759,486.2106339468303,412.34560327198363
1,26.48695652173913,1000.295652173913,178.73404347826087,122.04782608695652,1.8674992046942867,0.4283542040002876,0.0,121.38695652173914,7.117474509572377,271.8368634628167,0.9988167777080953,0.0006020544571260311,0.0005811678347786507,0.0,0.0,0.0,0.0,156.40434782608696,156.40434782608696,156.40434782608696,8.339629300111364,886.8173913043478,680.4478260869565,490.95652173913044,395.8608695652174
2,26.472826086956523,963.320652173913,137.19171657608698,127.91576086956522,0.9091468688870037,-1.3308315209910027,0.0,123.7554347826087,7.166362981552636,282.7085241183619,0.9986743989624094,0.0005108149138064655,0.000814786123784144,0.0,0.0,0.0,0.0,156.46467391304347,156.46467391304347,156.46467391304347,9.325328202611058,894.9483695652174,690.8125,470.36141304347825,424.5869565217391
3,10.78125,398.6875,204.35223214285716,125.09375,-0.5798788876596461,2.8957657458292294,0.0,132.77232142857142,7.692010149170026,322.8735080803034,0.9992942470328323,0.00035713679867287754,0.00034861616849484134,0.0,0.0,0.0,0.0,161.58482142857142,161.58482142857142,161.58482142857142,9.135510739110673,979.5178571428571,761.5133928571429,501.59375,477.92410714285717
4,35.125,2101.125,194.0625,137.25,11.016242187285822,-2.9718729142425877,0.0,119.625,7.672705001191208,259.2192123540092,0.9991528440053026,0.0002200569838888335,0.0006270990108086035,0.0,0.0,0.0,0.0,155.125,155.125,155.125,7.486457010232349,936.5,660.875,551.25,385.25
5,12.0,351.0,117.0,126.25,-2.7465382220763557,-3.7031138212021935,0.0,115.625,6.938382085392841,321.1890089324695,1.0,0.0,0.0,0.0,0.0,0.0,0.0,148.375,148.375,148.375,7.73152220983852,810.75,650.5,397.75,413.0
6,21.77358490566038,648.8301886792453,121.86320754716981,115.41509433962264,-0.8583297037120076,-1.953991207649176,0.0,85.43396226415095,4.870825616950505,145.99646422536924,0.9989209120376594,0.0004285427100372671,0.0006505452523033582,0.0,0.0,0.0,0.0,146.9245283018868,146.9245283018868,146.9245283018868,8.231440034877986,621.6415094339623,508.8679245283019,321.1132075471698,300.52830188679246
7,32.775,1691.7,199.1625,136.525,6.54259364403017,-0.6922724309051856,0.0,129.65,6.478185254961788,364.4631792974197,0.9985398854552454,0.000771291361870142,0.0006888231828844219,0.0,0.0,0.0,0.0,155.3,155.3,155.3,11.660678910908203,819.8,655.975,398.725,421.075
8,10.132686084142394,342.68284789644014,172.0021359223301,124.38511326860842,-1.3617269751325614,1.565272985976188,0.0,126.59546925566343,7.314124862628175,296.3148256131561,0.9993799240808404,0.00023662138230742566,0.0003834545368521551,0.0,0.0,0.0,0.0,157.51456310679612,157.51456310679612,157.51456310679612,8.473532772635917,929.8705501618123,711.3171521035599,481.48867313915855,448.3818770226537
9,27.0188679245283,1228.245283018868,237.57358490566037,132.28301886792454,3.9971690900018517,2.5498888157562836,0.0,139.58490566037736,8.308613560326847,309.0441419528611,0.9982234857713105,0.0007712265999227577,0.0010052876287667382,0.0,0.0,0.0,0.0,144.33962264150944,144.33962264150944,144.33962264150944,9.601840220369162,1046.566037735849,768.5283018867924,598.9245283018868,447.64150943396226
10,24.1984126984127,731.8809523809524,97.58730158730158,126.63492063492063,-0.8083938987520732,-2.66464779744483,0.0,119.4920634920635,6.891670468042688,259.8486397892161,0.9995143994807859,0.00018014116305688067,0.0003054593561572847,0.0,0.0,0.0,0.0,160.70634920634922,160.70634920634922,160.70634920634922,9.596931949277637,874.3095238095239,679.9444444444445,460.1904761904762,414.1190476190476
11,29.706293706293707,1313.6853146853148,196.45104895104896,131.92307692307693,3.578377678340412,0.5883262650566988,0.0,128.82517482517483,7.03180625107752,296.6875960182224,0.9993746121857479,0.0001686337347983161,0.00045675407945383964,0.0,0.0,0.0,0.0,157.5174825174825,157.5174825174825,157.5174825174825,9.327658666586512,910.083916083916,702.3426573426574,488.8111888111888,421.27272727272725
