cluster,<200,<400,<600,<800,<1000,<1200,<1500,<2000,2000+
0,186,403,269,68,0,0,0,0,0
1,0,0,0,0,2,3,16,30,13
2,0,0,0,21,167,198,165,28,0
3,0,0,9,231,314,170,55,2,0
4,40,275,238,167,29,0,0,0,0
