cluster,difficulty_level,total_notes,bpm,duration_seconds,pca_x,pca_y,n_l,n_m,n_mu,n_var,l_4,l_8,l_12,l_16,l_24,l_32,l_oth,t_l,t_s,t_f,t_mu,total_notes_svg,total_notes_csv,notes_mapped_by_beatlines,notes_mapped_fallback
0,11.542128603104214,347.4745011086475,126.44149490022173,125.59977827050997,-2.1546744317721247,-0.491900063218359,0.0,122.01884700665188,7.086673819977408,277.62629634396717,0.9990752850901627,0.0005019617596716048,0.0004227531501656023,0.0,0.0,0.0,0.0,154.94678492239467,154.94678492239467,154.94678492239467,8.688562860966451,893.0321507760532,686.2328159645233,481.2937915742794,411.73835920177385
1,29.65373134328358,1317.7731343283583,188.61701492537313,133.44477611940297,3.7066716046521786,0.09827127193051556,0.0,128.22089552238805,7.489044101420687,303.6132144675,0.9988130238052919,0.0003882946844358251,0.0007986815102722766,0.0,0.0,0.0,0.0,158.80298507462686,158.80298507462686,158.80298507462686,9.150415314806237,951.2089552238806,730.8537313432836,495.10149253731345,456.10746268656715
2,22.878048780487806,877.9046563192904,186.72474501108647,122.95343680709534,1.3494207063707542,1.0898740938131224,0.0,117.9290465631929,6.808402490980085,271.945722881179,0.9992264155169586,0.0003521824423510745,0.00042140204069040946,0.0,0.0,0.0,0.0,156.32815964523283,156.32815964523283,156.32815964523283,8.810728144403887,861.3325942350333,669.0953436807096,443.4079822616408,417.9246119733925
3,25.50418994413408,918.3421787709498,131.88813561452514,128.10893854748602,0.6689678246116878,-1.5166439494952808,0.0,126.43994413407822,7.231620648951763,285.6531171274881,0.999194525465977,0.00035424673345041456,0.000451227800572651,0.0,0.0,0.0,0.0,154.65083798882682,154.65083798882682,154.65083798882682,9.005053769151191,923.5,705.413407821229,494.3421787709497,429.1578212290503
4,11.288333333333334,398.74333333333334,186.09848333333332,124.12166666666667,-0.8810138183670437,2.0807472804157707,0.0,121.085,7.155598884155753,287.03950042536326,0.9990253044220901,0.0004935236085182495,0.00048117196939160943,0.0,0.0,0.0,0.0,153.00333333333333,153.00333333333333,153.00333333333333,8.6384686613115,891.5616666666666,675.85,484.86833333333334,406.6933333333333
5,34.26086956521739,1870.8260869565217,199.2391304347826,134.2608695652174,9.20829366715807,-1.8953672644956345,0.0,163.30434782608697,8.632280597260522,449.0564411464099,0.9987018811096197,0.00018331472674918455,0.0011148041636312516,0.0,0.0,0.0,0.0,163.6086956521739,163.6086956521739,163.6086956521739,8.755156120566928,1110.2608695652175,803.9565217391304,623.4347826086956,486.82608695652175
6,21.125,664.2083333333334,115.14583333333333,120.33333333333333,-0.957927978050154,-2.773584565429484,0.0,103.90277777777777,6.023625778585101,203.39033265164272,0.9979381734327925,0.00027960824302664317,0.0017822183241809593,0.0,0.0,0.0,0.0,147.83333333333334,147.83333333333334,147.83333333333334,8.01716887924133,769.7916666666666,608.125,418.2916666666667,351.5
