cluster,difficulty_level,total_notes,bpm,duration_seconds,pca_x,pca_y,n_l,n_m,n_mu,n_var,l_4,l_8,l_12,l_16,l_24,l_32,l_oth,t_l,t_s,t_f,t_mu,total_notes_svg,total_notes_csv,notes_mapped_by_beatlines,notes_mapped_fallback
0,8.662162162162161,248.71283783783784,124.85269155405405,126.11824324324324,-2.607222222947438,-0.34089868473463075,0.0,117.125,6.966271559880093,264.87617766707854,0.9991342724074946,0.0005521255059207711,0.00031360208658458375,0.0,0.0,0.0,0.0,155.4391891891892,155.4391891891892,155.4391891891892,8.48460870274923,880.652027027027,674.7871621621622,474.7060810810811,405.94594594594594
1,27.8,1104.7833333333333,186.125,124.73333333333333,2.464060294521182,0.5505880162227469,0.0,126.70555555555555,7.18096728236785,290.7061161406679,0.9994909989514604,0.0002432475182321141,0.00026575353030741964,0.0,0.0,0.0,0.0,150.2722222222222,150.2722222222222,150.2722222222222,8.664732034209305,925.4388888888889,698.7333333333333,501.96666666666664,423.47222222222223
2,16.21951219512195,460.4390243902439,129.6158536585366,113.63414634146342,-1.5938085747689754,-0.9667502190372768,0.0,139.9512195121951,8.074936888009441,323.6995430820689,0.9992581364691365,0.00045463597477721836,0.0002872275560862203,0.0,0.0,0.0,0.0,161.5121951219512,161.5121951219512,161.5121951219512,7.517918081132275,1037.5121951219512,795.6585365853658,578.9268292682926,458.5853658536585
3,12.036496350364963,479.26277372262774,216.75985401459852,128.02189781021897,-0.03325093785501289,3.299749953450762,0.0,112.26277372262774,6.81149533033682,229.0211651496685,0.9989069556483603,0.0005773675676803648,0.0005156767839593374,0.0,0.0,0.0,0.0,156.4817518248175,156.4817518248175,156.4817518248175,8.45521475443228,842.7226277372263,656.9635036496351,466.95620437956205,375.7664233576642
4,17.0,563.875,112.0,131.25,-1.5723169712096032,-3.9438188862247348,0.0,137.75,6.5722445916593575,297.5902178415291,1.0,0.0,0.0,0.0,0.0,0.0,0.0,141.125,141.125,141.125,8.561355327031055,831.25,630.25,459.5,371.75
5,25.570731707317073,855.3414634146342,122.8359756097561,126.02926829268293,0.20234260519614658,-1.7832696772152308,0.0,127.26341463414634,7.228865908100685,309.34695048781424,0.9987059867227286,0.0005569117237504531,0.0007371015535209401,0.0,0.0,0.0,0.0,156.0390243902439,156.0390243902439,156.0390243902439,9.313673263750513,892.0682926829269,689.9170731707317,469.6,422.4682926829268
6,31.951219512195124,1628.5121951219512,227.09756097560975,139.8780487804878,5.882736272519636,1.1336513356026938,0.0,121.1951219512195,7.028102782233693,257.5262270865142,0.9975930624290806,0.0017249779724340007,0.0006819595984854634,0.0,0.0,0.0,0.0,158.4878048780488,158.4878048780488,158.4878048780488,11.014513640166154,893.609756097561,703.7560975609756,459.3414634146341,434.2682926829268
7,22.73846153846154,720.8,114.8076923076923,120.23076923076923,-0.6605004055010341,-2.641354222661483,0.0,130.73846153846154,7.641024620349559,305.7982807882281,0.997701885757662,0.0002496147094668711,0.0020484995328710304,0.0,0.0,0.0,0.0,158.72307692307692,158.72307692307692,158.72307692307692,8.867024167632021,960.876923076923,726.876923076923,510.5076923076923,450.3692307692308
8,27.793296089385475,1084.5810055865923,137.98073575418994,133.72067039106145,1.4146674279033777,-1.5086373667575839,0.0,124.16201117318435,7.208746262122948,295.94583470076753,0.9993575254605678,0.00018948480697852138,0.0004529897324537064,0.0,0.0,0.0,0.0,158.0391061452514,158.0391061452514,158.0391061452514,9.012977288848772,906.7821229050279,703.2513966480446,473.0223463687151,433.75977653631287
9,35.333333333333336,1858.6666666666667,207.0,127.33333333333333,15.003630738515179,-4.13967689934226,0.0,137.0,7.070307190902157,323.55158376496604,1.0,0.0,0.0,0.0,0.0,0.0,0.0,155.66666666666666,155.66666666666666,155.66666666666666,7.591607477191001,850.6666666666666,696.0,286.3333333333333,564.3333333333334
10,24.576271186440678,1050.7457627118645,230.80338983050848,126.45762711864407,2.941498824109632,2.677541614701121,0.0,146.4915254237288,8.073039342555413,358.61254105692876,0.9993199182991186,0.00019036131743337126,0.0004897203834480958,0.0,0.0,0.0,0.0,161.23728813559322,161.23728813559322,161.23728813559322,9.415293829399806,1064.864406779661,808.3220338983051,552.9491525423729,511.91525423728814
11,25.680851063829788,925.4627659574468,158.0886170212766,120.83510638297872,1.2038524879746346,-0.3710454704115953,0.0,107.75531914893617,6.448737606353356,227.5648543841501,0.99899297554249,0.0005836864436499279,0.00042333801386007833,0.0,0.0,0.0,0.0,153.86702127659575,153.86702127659575,153.86702127659575,8.728433507603443,814.3191489361702,641.1170212765958,422.68617021276594,391.6329787234043
12,19.005681818181817,658.75,145.6193181818182,123.64772727272727,-0.4218264190615372,-0.27462862236011576,0.0,126.4375,7.141094347993451,302.95329348504936,0.9991237232768652,0.0003228304939876944,0.0005534462291470247,0.0,0.0,0.0,0.0,156.36363636363637,156.36363636363637,156.36363636363637,8.794253712955515,914.3579545454545,697.3693181818181,479.9488636363636,434.40909090909093
13,9.522033898305084,300.12881355932205,147.44237288135594,124.68474576271187,-1.9824487981461643,0.5577402990607436,0.0,130.09830508474576,7.579843464258778,302.0340285573106,0.9993455224617172,0.00028629983713921575,0.00036817770114354754,0.0,0.0,0.0,0.0,158.18983050847459,158.18983050847459,158.18983050847459,9.193961232785252,953.206779661017,726.5084745762712,499.3593220338983,453.8474576271187
14,6.5,139.5,132.5,105.0,-3.662575953152735,-3.703381491057199,0.0,202.5,11.543713500515286,481.71835277022296,0.9997519841269842,0.000248015873015873,0.0,0.0,0.0,0.0,0.0,162.0,162.0,162.0,9.99828237718997,1483.5,983.0,924.5,559.0
15,22.426666666666666,641.6533333333333,87.4,128.34666666666666,-1.4212675800289432,-2.958910413951042,0.0,111.46666666666667,5.998052800733592,271.0717607720691,0.999460587361131,6.327607283021295e-05,0.0004761365660387852,0.0,0.0,0.0,0.0,157.6,157.6,157.6,8.52683654215905,780.6533333333333,617.24,406.61333333333334,374.04
16,10.045317220543806,342.6918429003021,181.1183081570997,123.75830815709969,-1.2028245474374895,1.9723438417085621,0.0,126.87613293051359,7.261235856073397,283.6354074215972,0.9990189980469159,0.0005197105354624329,0.00046129141762167553,0.0,0.0,0.0,0.0,154.25377643504532,154.25377643504532,154.25377643504532,9.281115006632138,927.6374622356495,706.3564954682779,501.04833836858006,426.5891238670695
17,29.812080536912752,1337.7986577181207,183.35570469798657,136.06040268456377,3.65261320869788,-0.15289921369457707,0.0,117.70469798657719,6.908146556615223,258.5610783374668,0.9994582006063483,0.0001945436644608244,0.0003472557291908449,0.0,0.0,0.0,0.0,151.1208053691275,151.1208053691275,151.1208053691275,7.683906834702941,890.7114093959732,692.496644295302,457.5704697986577,433.1409395973154
18,9.24731182795699,233.6021505376344,90.88172043010752,127.80645161290323,-3.304159268256019,-1.8516691136258554,0.0,119.83870967741936,6.856652166935938,285.42973244440896,0.9991733453583126,0.00016521075767437363,0.0006614438840130447,0.0,0.0,0.0,0.0,152.55913978494624,152.55913978494624,152.55913978494624,8.471392850618724,886.9569892473119,677.8709677419355,469.1505376344086,417.80645161290323
