cluster,difficulty_level,total_notes,bpm,duration_seconds,pca_x,pca_y,n_l,n_m,n_mu,n_var,l_4,l_8,l_12,l_16,l_24,l_32,l_oth,t_l,t_s,t_f,t_mu,total_notes_svg,total_notes_csv,notes_mapped_by_beatlines,notes_mapped_fallback
0,9.206412825651302,281.0861723446894,136.33346032064128,126.17835671342685,-2.2683261711391505,0.10271685975985304,0.0,121.11222444889779,7.080691461451701,274.1536559427284,0.999247921905644,0.00044816623190728494,0.000303911862448687,0.0,0.0,0.0,0.0,153.59519038076152,153.59519038076152,153.59519038076152,8.502355594894132,902.4829659318638,687.9158316633267,488.83967935871743,413.64328657314627
1,26.420833333333334,995.1625,182.04929166666668,121.8625,1.8821327772375815,0.6008577356052123,0.0,122.75833333333334,7.192187800074077,288.3357575694799,0.9987567489293506,0.0006180790558554513,0.0006251720147939252,0.0,0.0,0.0,0.0,157.03333333333333,157.03333333333333,157.03333333333333,8.79324393578895,891.5708333333333,685.5666666666667,488.42083333333335,403.15
2,26.31382978723404,950.9521276595744,137.24880771276597,127.43085106382979,0.856630548674409,-1.305181159478815,0.0,122.2313829787234,7.0069722013394715,271.3745458511774,0.9987992280900149,0.0004362528593153012,0.0007645190506697562,0.0,0.0,0.0,0.0,156.3590425531915,156.3590425531915,156.3590425531915,9.13154130993753,880.5718085106383,682.9760638297872,461.40159574468083,419.17021276595744
3,11.765060240963855,454.078313253012,211.7355421686747,127.28313253012048,-0.21807507504493598,3.1186707951344523,0.0,133.07831325301206,7.913063149208008,334.58930525077614,0.9992451029051937,0.00039196952075825356,0.00036292757404791427,0.0,0.0,0.0,0.0,162.96987951807228,162.96987951807228,162.96987951807228,8.851175913707767,1006.4096385542168,779.5240963855422,520.4638554216867,485.9457831325301
4,35.125,2101.125,194.0625,137.25,11.016242187285822,-2.9718729142425877,0.0,158.375,9.126586018051304,347.9250535382089,0.9992283950617284,0.0007716049382716049,0.0,0.0,0.0,0.0,0.0,161.75,161.75,161.75,7.072167422996793,1154.75,830.25,559.375,595.375
5,12.0,351.0,117.0,126.25,-2.7465382220763557,-3.7031138212021935,0.0,168.75,9.955080665178084,449.6724398548073,0.9985179202389417,0.00026469031233456857,0.0012173894487236916,0.0,0.0,0.0,0.0,161.625,161.625,161.625,13.915105558514242,1216.0,918.875,616.25,599.75
6,21.77358490566038,648.8301886792453,121.86320754716981,115.41509433962264,-0.8583297037120076,-1.953991207649176,0.0,95.77358490566037,5.782204060796096,178.9064815968693,0.9987004169212754,0.0005309827855133164,0.0007686002932112103,0.0,0.0,0.0,0.0,147.33962264150944,147.33962264150944,147.33962264150944,8.539096435329373,712.9811320754717,561.622641509434,384.49056603773585,328.49056603773585
7,32.86046511627907,1691.3488372093022,202.27906976744185,136.37209302325581,6.548385964019118,-0.5264236301226883,0.0,93.72093023255815,5.131253116210831,170.85812737801282,0.9997648630244363,0.00019643842785527715,3.8698547708374905e-05,0.0,0.0,0.0,0.0,150.27906976744185,150.27906976744185,150.27906976744185,8.064574612197699,671.7441860465116,548.3023255813954,337.7674418604651,333.9767441860465
8,10.134770889487871,343.49056603773585,176.64059299191376,123.62264150943396,-1.2757419716330778,1.7675051998521347,0.0,128.58760107816713,7.3957125726753326,306.8941954558532,0.9991373939316759,0.00036718591909295443,0.0004954201492311484,0.0,0.0,0.0,0.0,156.33692722371967,156.33692722371967,156.33692722371967,9.066065209920835,935.9002695417789,713.8086253369272,486.1078167115903,449.79245283018867
9,22.681159420289855,969.6231884057971,229.99855072463768,127.53623188405797,2.502839554588542,2.837302170286517,0.0,124.79710144927536,7.303112888087019,279.3749200024942,0.9994690233510474,0.00019152614830062498,0.0003394505006520312,0.0,0.0,0.0,0.0,155.1014492753623,155.1014492753623,155.1014492753623,9.16951631399417,926.4492753623189,705.7826086956521,505.6521739130435,420.7971014492754
