cluster,difficulty_level,total_notes,bpm,duration_seconds,pca_x,pca_y,n_l,n_m,n_mu,n_var,l_4,l_8,l_12,l_16,l_24,l_32,l_oth,t_l,t_s,t_f,t_mu,total_notes_svg,total_notes_csv,notes_mapped_by_beatlines,notes_mapped_fallback
0,11.543067226890756,346.3897058823529,126.6551768907563,125.27626050420169,-2.160528080273478,-0.5219007827042328,0.0,122.84663865546219,7.146472672526044,279.7245557814383,0.999014317601448,0.0005232073952011373,0.0004624750033508759,0.0,0.0,0.0,0.0,154.984243697479,154.984243697479,154.984243697479,8.773191760809798,900.3949579831933,690.0483193277311,485.890756302521,414.5042016806723
1,29.0020202020202,1259.7111111111112,190.23717171717172,129.94747474747476,3.5314296534948455,0.26459614116119823,0.0,121.88484848484849,7.039639073679169,285.8273222078987,0.9989722716439063,0.0003634027557213502,0.0006643256003722605,0.0,0.0,0.0,0.0,157.7111111111111,157.7111111111111,157.7111111111111,9.021983762502224,892.3474747474747,692.0505050505051,461.2949494949495,431.05252525252524
2,13.84634448574969,512.2490706319703,188.25413878562577,124.35935563816605,-0.33816288361043717,1.9457020085588717,0.0,124.80669144981412,7.153499615097807,282.37675694575495,0.9992309227829245,0.00034835635014136325,0.0004207208669340749,0.0,0.0,0.0,0.0,156.20198265179678,156.20198265179678,156.20198265179678,9.078650341790047,910.1920693928129,697.6926889714994,484.5724907063197,425.6195786864932
3,25.428402366863907,913.298224852071,134.6148699408284,127.16331360946745,0.6883579893657104,-1.4252154623045832,0.0,121.44142011834319,7.117283778539279,285.01805554083353,0.9989908623167948,0.0004221112279373827,0.0005870264552679182,0.0,0.0,0.0,0.0,152.35147928994084,152.35147928994084,152.35147928994084,8.450869023907046,895.0792899408284,681.5538461538462,482.0473372781065,413.0319526627219
