cluster,difficulty_level,total_notes,bpm,duration_seconds,pca_x,pca_y,n_l,n_m,n_mu,n_var,l_4,l_8,l_12,l_16,l_24,l_32,l_oth,t_l,t_s,t_f,t_mu,total_notes_svg,total_notes_csv,notes_mapped_by_beatlines,notes_mapped_fallback
0,9.206412825651302,281.0861723446894,136.33346032064128,126.17835671342685,-2.2683261711391505,0.10271685975985304,0.0,121.11222444889779,7.080691461451701,274.1536559427284,0.999247921905644,0.00044816623190728494,0.000303911862448687,0.0,0.0,0.0,0.0,153.59519038076152,153.59519038076152,153.59519038076152,8.502355594894132,902.4829659318638,687.9158316633267,488.83967935871743,413.64328657314627
1,19.796296296296298,748.0814814814814,181.75181481481482,122.78148148148148,0.6186907918449214,1.163346901807717,0.0,120.92962962962963,7.105926410267579,282.0921798760096,0.9988671352937013,0.0005554836746196252,0.0005773810316790759,0.0,0.0,0.0,0.0,157.17407407407407,157.17407407407407,157.17407407407407,8.696012010594472,880.9148148148148,678.9148148148148,481.27777777777777,399.63703703703703
2,26.321052631578947,949.3894736842105,137.58039921052634,127.05,0.8632496765593469,-1.2915846603913854,0.0,126.11578947368422,7.208589582484525,290.4516537153418,0.9987494312425444,0.00043781928870134104,0.0008127494687542591,0.0,0.0,0.0,0.0,157.18157894736842,157.18157894736842,157.18157894736842,9.32557194067301,903.7157894736843,702.1368421052632,470.8421052631579,432.87368421052633
3,11.955974842767295,471.9433962264151,214.5823899371069,127.73584905660377,-0.09745268428405814,3.2156323094773365,0.0,129.24528301886792,7.692067299704121,302.37519209894634,0.9992418739972915,0.0004710063458704243,0.00028711965683806426,0.0,0.0,0.0,0.0,161.37106918238993,161.37106918238993,161.37106918238993,8.868294042388458,985.3962264150944,755.5283018867924,509.3333333333333,476.062893081761
4,35.125,2101.125,194.0625,137.25,11.016242187285822,-2.9718729142425877,0.0,160.75,10.342388672130932,364.1435747614686,0.9991528440053026,0.0002200569838888335,0.0006270990108086035,0.0,0.0,0.0,0.0,149.25,149.25,149.25,7.731059730764481,1267.25,871.25,752.5,514.75
5,12.0,351.0,117.0,126.25,-2.7465382220763557,-3.7031138212021935,0.0,108.625,5.507015503612521,292.54626226388166,1.0,0.0,0.0,0.0,0.0,0.0,0.0,146.375,146.375,146.375,7.416091684658868,651.625,544.75,325.375,326.25
6,21.72222222222222,644.8518518518518,121.86574074074075,115.14814814814815,-0.8768105842831069,-1.9398100906883124,0.0,86.62962962962963,5.051395440722513,148.92919090017813,0.9989408951480732,0.0004206067339254659,0.0006384981180014442,0.0,0.0,0.0,0.0,147.83333333333334,147.83333333333334,147.83333333333334,8.248459522933413,641.8148148148148,521.8888888888889,331.4259259259259,310.3888888888889
7,33.282051282051285,1727.2820512820513,204.2948717948718,135.82051282051282,6.742750763237188,-0.5028260742699799,0.0,118.74358974358974,5.882737426280315,337.59616749242576,0.9985308577295081,0.0007768625090847966,0.0006922797614071349,0.0,0.0,0.0,0.0,153.89743589743588,153.89743589743588,153.89743589743588,11.722595124101261,748.6410256410256,616.3333333333334,351.97435897435895,396.6666666666667
8,10.309644670050762,350.70558375634516,177.21360406091372,123.81472081218274,-1.2383925294098619,1.7798240794177316,0.0,129.17258883248732,7.470915584182174,299.7612888742322,0.9992331287564157,0.0003177288982489824,0.00044914234533540624,0.0,0.0,0.0,0.0,155.63197969543148,155.63197969543148,155.63197969543148,8.627796561499471,946.4796954314721,719.7182741116751,497.25126903553297,449.2284263959391
9,25.363636363636363,1092.155844155844,230.5831168831169,127.42857142857143,3.1468853791959326,2.5758043268056636,0.0,124.87012987012987,7.359126627328268,274.7159156739326,0.9995120544351007,0.00010248009763377312,0.0003854654672656212,0.0,0.0,0.0,0.0,164.97402597402598,164.97402597402598,164.97402597402598,10.210467872751959,939.5064935064935,715.8831168831168,511.84415584415586,427.6623376623377
