cluster,<200,<400,<600,<800,<1000,<1200,<1500,<2000,2000+
0,192,417,272,71,0,0,0,0,0
1,0,0,0,3,66,174,183,56,13
2,34,261,237,177,93,5,0,0,0
3,0,0,7,236,353,192,53,4,0
