cluster,difficulty_level,total_notes,bpm,duration_seconds,pca_x,pca_y,n_l,n_m,n_mu,n_var,l_4,l_8,l_12,l_16,l_24,l_32,l_oth,t_l,t_s,t_f,t_mu,total_notes_svg,total_notes_csv,notes_mapped_by_beatlines,notes_mapped_fallback
0,8.68013468013468,249.3030303030303,124.87002255892256,126.16498316498317,-2.604597147248198,-0.3411628908519461,0.0,117.3030303030303,6.975884883151301,265.2414463260707,0.9991371873152135,0.0005502664974833274,0.0003125461873031542,0.0,0.0,0.0,0.0,155.56228956228955,155.56228956228955,155.56228956228955,8.483097273735645,881.3905723905724,675.6296296296297,475.3636363636364,406.026936026936
1,26.04945054945055,966.3571428571429,182.08972527472528,120.96153846153847,1.7265828901050342,0.6758811105913034,0.0,126.07692307692308,7.156975803787955,288.90050777646934,0.9994965923695762,0.00024057446858121175,0.00026283316184250296,0.0,0.0,0.0,0.0,150.1978021978022,150.1978021978022,150.1978021978022,8.637719354279529,923.5439560439561,698.1373626373627,501.3296703296703,422.2142857142857
2,15.475,438.7,128.084375,113.775,-1.736788488014619,-0.9939988421984051,0.0,141.475,8.05052165847829,329.39039315325476,0.9992395898808649,0.0004660018741466488,0.0002944082449883758,0.0,0.0,0.0,0.0,163.825,163.825,163.825,7.582631280974757,1034.55,790.2,575.2,459.35
3,11.079365079365079,426.1190476190476,215.21507936507936,127.12698412698413,-0.2661295001130081,3.32204497631136,0.0,109.07936507936508,6.657863226544841,222.0392421817654,0.9990500304309252,0.0005447747729626936,0.00040519479611202385,0.0,0.0,0.0,0.0,156.65079365079364,156.65079365079364,156.65079365079364,8.518110070534622,825.1269841269841,648.936507936508,454.3174603174603,370.8095238095238
4,17.0,563.875,112.0,131.25,-1.5723169712096032,-3.9438188862247348,0.0,152.625,9.159378533391855,312.42791977905284,0.9964487223272741,0.0011021307861866275,0.002449146886539278,0.0,0.0,0.0,0.0,145.0,145.0,145.0,7.750005842536945,1102.25,774.875,639.25,463.0
5,25.461038961038962,848.0324675324675,117.8051948051948,126.61688311688312,0.07552909760327176,-1.9798628204532818,0.0,128.64285714285714,7.368416216264302,321.38469432457055,0.9986840555019515,0.0006008137558978509,0.0007151307421506721,0.0,0.0,0.0,0.0,157.67532467532467,157.67532467532467,157.67532467532467,9.306144380992373,901.0584415584416,693.7012987012987,472.0194805194805,429.038961038961
6,32.526315789473685,1654.2631578947369,193.0921052631579,139.31578947368422,4.97323332183413,-0.21672616105551357,0.0,130.60526315789474,6.945384656326074,292.5479974399694,0.9995929266470484,6.391700272124838e-05,0.00034315635023037476,0.0,0.0,0.0,0.0,152.57894736842104,152.57894736842104,152.57894736842104,7.820101334768907,866.8684210526316,687.1052631578947,461.6578947368421,405.2105263157895
7,26.0,834.9555555555555,117.66111111111111,119.26666666666667,0.029822166370791138,-2.6466037210014255,0.0,103.95555555555555,6.051879076432703,204.70175979794286,0.9987908227457284,0.0005883829682308795,0.000620794286040777,0.0,0.0,0.0,0.0,151.42222222222222,151.42222222222222,151.42222222222222,9.433015240150324,773.6888888888889,612.5777777777778,401.9111111111111,371.77777777777777
8,27.66896551724138,1073.048275862069,135.0175979310345,134.57931034482758,1.304658788939923,-1.6213728478471872,0.0,123.98620689655172,7.2211493898900825,282.0511298897501,0.9980952738631866,0.0006845698315764675,0.0012201563052368317,0.0,0.0,0.0,0.0,154.68965517241378,154.68965517241378,154.68965517241378,9.756667480550455,918.8206896551724,692.9793103448276,491.3103448275862,427.5103448275862
9,37.0,2094.0,223.0,127.5,14.051132875006436,-2.861737654318816,0.0,114.5,7.412675018422991,254.3388385993856,0.9924999999999999,0.0,0.0075,0.0,0.0,0.0,0.0,165.0,165.0,165.0,7.9808400884303605,855.0,616.5,507.5,347.5
10,22.444444444444443,967.2592592592592,234.07222222222222,127.79629629629629,2.5254618787784375,3.044526332767119,0.0,122.83333333333333,7.449593658625923,269.7630534470539,0.9994683503140486,0.00020132904301065662,0.00033032064294077006,0.0,0.0,0.0,0.0,160.90740740740742,160.90740740740742,160.90740740740742,7.9990915383420536,927.3148148148148,715.574074074074,500.537037037037,426.77777777777777
11,25.65497076023392,896.514619883041,146.39473684210526,122.54385964912281,0.7875433609703617,-0.7893687664357999,0.0,134.2514619883041,7.71813097721754,335.146104961881,0.9993170579750029,0.00030323472877294725,0.00037970729622406087,0.0,0.0,0.0,0.0,163.05263157894737,163.05263157894737,163.05263157894737,9.065992595425348,992.2573099415205,775.5263157894736,501.2456140350877,491.01169590643275
12,18.695652173913043,649.0124223602485,143.16770186335404,124.15527950310559,-0.5227798835818881,-0.3614958091785084,0.0,114.40372670807453,6.502790292199368,262.91613655971025,0.9989833598129013,0.0005184495544126839,0.0004981906326860482,0.0,0.0,0.0,0.0,152.80124223602485,152.80124223602485,152.80124223602485,9.398746806253207,812.6149068322982,635.695652173913,422.82608695652175,389.7888198757764
13,9.522184300341298,299.60409556313994,147.339590443686,124.5665529010239,-1.9858478920271738,0.5538432062759203,0.0,125.38225255972696,7.209289870153931,293.0391929643445,0.9993484154295414,0.00024719053671347065,0.00040439403374510554,0.0,0.0,0.0,0.0,157.45392491467578,157.45392491467578,157.45392491467578,8.501885576844243,917.0307167235495,703.9897610921502,473.1399317406143,443.89078498293514
14,6.5,139.5,132.5,105.0,-3.662575953152735,-3.703381491057199,0.0,146.0,10.39892394003495,375.66944126001994,1.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,156.0,156.0,9.218247033937276,1094.5,799.5,431.5,663.0
15,22.098591549295776,626.5915492957746,86.69014084507042,128.07042253521126,-1.5078652014153933,-2.9625246476569553,0.0,140.4788732394366,8.314906046238818,318.60321583325776,0.9986304679085339,0.0006191061150628371,0.0007504259764033398,0.0,0.0,0.0,0.0,148.28169014084506,148.28169014084506,148.28169014084506,9.178036211072378,1050.5070422535211,771.7746478873239,588.943661971831,461.5633802816901
16,10.184848484848485,349.530303030303,180.21715151515153,124.10303030303031,-1.1922939772916445,1.9205886993060366,0.0,122.0030303030303,6.794268630023869,272.62560364964537,0.9993127881497985,0.00023191322822460332,0.000455298621976921,0.0,0.0,0.0,0.0,158.29090909090908,158.29090909090908,158.29090909090908,9.821079197057326,870.0,674.4121212121212,463.8787878787879,406.1212121212121
17,29.442307692307693,1291.6153846153845,161.7596153846154,135.8846153846154,3.6450719516854226,-1.3294432462749248,0.0,140.6346153846154,8.287869002154288,302.07253439436926,0.9986777927065028,0.00048546698378138805,0.0008367403097157216,0.0,0.0,0.0,0.0,144.09615384615384,144.09615384615384,144.09615384615384,8.221621681606004,1042.8846153846155,757.9807692307693,586.4423076923077,456.4423076923077
18,9.131868131868131,231.17582417582418,90.97802197802197,128.0879120879121,-3.312292980019711,-1.8372400472526145,0.0,112.0989010989011,6.7502308738810335,239.93597905955235,0.9988523270424842,0.0009133115084268626,0.0002343614490889029,0.0,0.0,0.0,0.0,157.95604395604394,157.95604395604394,157.95604395604394,8.353095735378647,864.5714285714286,670.3846153846154,466.989010989011,397.5824175824176
19,32.529411764705884,1572.8235294117646,180.11764705882354,130.88235294117646,6.495078977747771,-1.662354409207847,0.0,175.8235294117647,9.770500123689697,541.1836427791658,0.9994149018199098,0.00038842544866565055,0.00019667273142459608,0.0,0.0,0.0,0.0,144.47058823529412,144.47058823529412,144.47058823529412,8.889889756312936,1266.9411764705883,923.2352941176471,599.0,667.9411764705883
20,18.32,727.016,196.14,124.656,0.7192881704107417,1.8818755370123716,0.0,119.104,6.8960397376581914,263.36257077432384,0.9995202120587965,0.00013798259857894098,0.0003418053426246097,0.0,0.0,0.0,0.0,150.776,150.776,150.776,7.774558041393483,886.264,689.608,457.336,428.928
21,17.493150684931507,562.5890410958904,123.73293424657534,126.54109589041096,-1.2712614537007658,-1.0340253457645998,0.0,119.96575342465754,7.085078388970118,273.89855400081564,0.9988572594608043,0.0004051046123961158,0.0007376359267995387,0.0,0.0,0.0,0.0,152.7054794520548,152.7054794520548,152.7054794520548,8.277827991273291,909.0,692.2945205479452,476.7328767123288,432.2671232876712
22,35.625,2198.375,205.5,138.375,10.09025548408571,-1.9934376545344408,0.0,106.0,6.511108722431008,181.07424963217397,0.9998235709244884,0.0,0.00017642907551164433,0.0,0.0,0.0,0.0,172.0,172.0,172.0,8.312483525128737,830.0,649.375,496.0,334.0
23,28.3943661971831,1159.2957746478874,124.60636197183099,138.69014084507043,2.151285196008231,-2.5788066454931142,0.0,124.19718309859155,7.294048815206756,294.8103867126558,0.9992442572461274,0.0004734405973287452,0.0002823021565438969,0.0,0.0,0.0,0.0,152.38028169014083,152.38028169014083,152.38028169014083,8.79088088016388,891.5915492957746,661.1971830985915,513.7605633802817,377.83098591549293
24,18.156462585034014,666.625850340136,170.8412244897959,122.89115646258503,0.07201763608805893,0.8362337133396601,0.0,110.34693877551021,6.413574318949856,255.39312528918305,0.9986020876913878,0.0007383857605556926,0.0006595265480564431,0.0,0.0,0.0,0.0,150.02721088435374,150.02721088435374,150.02721088435374,8.946530310940286,785.9183673469388,606.530612244898,416.6462585034014,369.2721088435374
25,29.035714285714285,1237.7714285714285,196.3607142857143,129.77142857142857,3.263117170016403,0.7257659901002166,0.0,127.32142857142857,7.937274404214702,284.2990351948522,0.9993749451390258,0.0002605066373772288,0.0003645482235970114,0.0,0.0,0.0,0.0,156.34285714285716,156.34285714285716,156.34285714285716,8.661070362658592,972.0357142857143,732.7142857142857,536.6928571428572,435.34285714285716
26,18.307692307692307,546.9230769230769,112.67307692307692,121.73076923076923,-1.6420232256236449,-2.4672998728960565,0.0,137.07692307692307,7.6448847714067565,315.8111262834219,0.999670399959691,0.00032960004030897885,0.0,0.0,0.0,0.0,0.0,163.3846153846154,163.3846153846154,163.3846153846154,7.377860290785183,973.9230769230769,761.7307692307693,494.2307692307692,479.6923076923077
27,32.0,1388.0,175.0,127.0,16.908626465532663,-6.695555389389146,0.0,22.0,1.1615384615384616,16.412366863905323,1.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,125.0,125.0,6.923076923076923,151.0,157.0,34.0,117.0
28,28.24,1139.384,165.012,127.496,2.4170130080085817,-0.5600743874135414,0.0,126.632,7.032486133563989,340.85185956261205,0.9982095817868342,0.0005515575640680435,0.0012388606490977663,0.0,0.0,0.0,0.0,149.84,149.84,149.84,8.801684026512214,896.184,668.648,507.08,389.104
29,30.612903225806452,1512.032258064516,235.67741935483872,140.1290322580645,5.755324052023802,1.6204251298302936,0.0,104.70967741935483,6.0713519080808585,214.45624433484042,0.9994889148511014,0.00016692609396411947,0.000344159054934565,0.0,0.0,0.0,0.0,150.7741935483871,150.7741935483871,150.7741935483871,7.607190166735667,778.3870967741935,622.1935483870968,408.9032258064516,369.48387096774195
