cluster,difficulty_level,total_notes,bpm,duration_seconds,pca_x,pca_y,n_l,n_m,n_mu,n_var,l_4,l_8,l_12,l_16,l_24,l_32,l_oth,t_l,t_s,t_f,t_mu,total_notes_svg,total_notes_csv,notes_mapped_by_beatlines,notes_mapped_fallback
0,9.500986193293885,269.16173570019726,119.32614082840237,126.19526627218934,-2.6255601518850016,-0.641602763984562,0.0,121.48717948717949,7.1132083010840566,275.53486601224154,0.9992538620100906,0.00044547096252503895,0.0003006670273844327,0.0,0.0,0.0,0.0,154.07692307692307,154.07692307692307,154.07692307692307,8.496513106758881,906.8145956607495,691.5029585798817,492.0749506903353,414.7396449704142
1,21.546419098143236,808.2042440318303,180.9654907161804,122.18037135278514,0.9134687943266188,0.9886648111971272,0.0,120.6976127320955,6.960798334824989,275.1189234041681,0.9988991517294024,0.0005126425998436416,0.0005882056707539044,0.0,0.0,0.0,0.0,156.29708222811672,156.29708222811672,156.29708222811672,8.846309427136442,860.5596816976127,669.9310344827586,459.710875331565,400.84880636604777
2,27.39041095890411,1040.7762557077626,137.9648479452055,130.41780821917808,1.4381301336560166,-1.5383028073209364,0.0,128.34931506849315,7.526923860292502,300.73559389424577,0.9988804016184789,0.0004509527358420185,0.0006686456456791221,0.0,0.0,0.0,0.0,158.81050228310502,158.81050228310502,158.81050228310502,9.147824659955244,954.4589041095891,731.4680365296804,500.3972602739726,454.06164383561645
3,11.589171974522293,436.63375796178343,203.86815286624204,125.57643312101911,-0.4247587091021881,2.803889116889885,0.0,119.42356687898089,6.76182042291899,279.59138749298177,0.9991132175789651,0.0003828850967171741,0.0005038973243177064,0.0,0.0,0.0,0.0,155.1656050955414,155.1656050955414,155.1656050955414,8.863766642293182,863.0031847133758,670.9076433121019,441.29617834394907,421.7070063694268
4,34.77777777777778,2021.888888888889,191.94444444444446,136.11111111111111,11.670951551535472,-3.385615411481094,0.0,113.33333333333333,7.004800512662864,237.7911641692789,0.9997146106302645,0.0002853893697355271,0.0,0.0,0.0,0.0,0.0,141.55555555555554,141.55555555555554,141.55555555555554,10.263100194347444,933.8888888888889,712.8888888888889,542.7777777777778,391.1111111111111
5,14.9,479.0,116.1,126.0,-1.9903687675982293,-3.895731407191228,0.0,83.6,6.029233795085478,175.11624793600643,0.9997156733824888,0.0,0.0002843266175112322,0.0,0.0,0.0,0.0,154.6,154.6,154.6,7.927610646906031,741.2,574.8,420.1,321.1
6,21.902439024390244,679.1829268292682,114.91310975609755,118.76829268292683,-0.8400735966151898,-2.477769176592141,0.0,132.28048780487805,7.583977320480363,310.1360471841112,0.9997153871694284,4.7390250523938304e-05,0.00023722258004754443,0.0,0.0,0.0,0.0,158.3658536585366,158.3658536585366,158.3658536585366,8.225138435139614,947.8170731707318,718.8780487804878,486.9512195121951,460.8658536585366
7,32.15068493150685,1606.054794520548,189.82191780821918,136.95890410958904,5.714372199920965,-0.7830850825943049,0.0,139.93150684931507,7.886970347126423,317.24948962609756,0.9985008797573843,0.0007056871528302182,0.0007934330897854179,0.0,0.0,0.0,0.0,148.0,148.0,148.0,9.339966957880197,981.3698630136986,739.2465753424658,537.1095890410959,444.26027397260276
8,10.666666666666666,350.2962962962963,159.9108230452675,123.97119341563786,-1.5424208191354438,1.0053018466153985,0.0,123.74691358024691,7.086061846713247,278.17683252714886,0.9991746426842824,0.0003799606177327814,0.0004453966979848873,0.0,0.0,0.0,0.0,156.14609053497944,156.14609053497944,156.14609053497944,9.292755702491036,907.3148148148148,694.5699588477366,486.6358024691358,420.679012345679
9,28.56637168141593,1215.882005899705,193.51297935103244,129.87905604719765,3.160552428560315,0.6144211752560694,0.0,119.78466076696165,7.015405762551709,271.5554784881506,0.9991627886743958,0.0003380915554919515,0.0004991197701123152,0.0,0.0,0.0,0.0,152.72566371681415,152.72566371681415,152.72566371681415,8.327406594716264,890.1917404129794,679.6489675516224,476.0560471976401,414.13569321533924
10,21.459051724137932,702.5237068965517,124.48771918103448,125.64655172413794,-0.5710221325009278,-1.3387369076717826,0.0,120.99353448275862,7.0719856342460785,288.4435452794198,0.99884656851115,0.0004777554851689294,0.0006756760036811876,0.0,0.0,0.0,0.0,152.60991379310346,152.60991379310346,152.60991379310346,8.589357519425766,880.6573275862069,670.6875,479.8318965517241,400.82543103448273
