cluster,num_songs,difficulties,min_difficulty,max_difficulty,mean_difficulty,variance_difficulty,min_notes,max_notes,mean_notes,variance_notes
0,334,"append, easy, expert, hard, master, normal",5,27,11.561555075593953,24.28755822777418,74,726,347.14686825053997,24119.695163154538
1,51,"append, expert, master",26,38,32.71875,8.745039682539725,938,2800,1693.03125,144000.2212301589
2,272,"append, expert, hard, master",17,36,27.33851468048359,13.50458671734474,672,1894,1122.13298791019,48214.413079465376
3,346,"append, expert, hard, master",16,34,25.384122919334185,13.508670672050982,544,1765,909.2932138284251,32929.72288978638
4,277,"easy, expert, hard, normal",6,26,12.753004005340454,17.953617300786032,113,951,465.630173564753,33900.11839315161
