cluster,difficulty_level,total_notes,bpm,duration_seconds,pca_x,pca_y,n_l,n_m,n_mu,n_var,l_4,l_8,l_12,l_16,l_24,l_32,l_oth,t_l,t_s,t_f,t_mu,total_notes_svg,total_notes_csv,notes_mapped_by_beatlines,notes_mapped_fallback
0,8.558490566037737,243.9132075471698,123.45621396226416,126.39622641509433,-2.648144952734391,-0.39572158852703765,0.0,116.8377358490566,6.943238140591253,265.4160205847159,0.9991696960417557,0.0005474773705995921,0.00028282658764466103,0.0,0.0,0.0,0.0,155.03018867924527,155.03018867924527,155.03018867924527,8.456074521006622,874.0264150943397,668.8150943396226,470.6,403.42641509433963
1,26.182795698924732,975.7849462365591,180.8001612903226,121.3763440860215,1.7496398450829458,0.5961996521429552,0.0,128.0483870967742,7.339024663426615,293.20980888842655,0.9993731389087936,0.00031280981547760785,0.00031405127572873366,0.0,0.0,0.0,0.0,152.01075268817203,152.01075268817203,152.01075268817203,8.837056398444924,947.5430107526881,713.8172043010753,516.983870967742,430.55913978494624
2,15.357142857142858,438.1190476190476,131.36607142857142,113.04761904761905,-1.676102671567496,-0.8274974848206611,0.0,113.5,6.581383288563987,241.80693076576395,0.9991083323331609,0.0004850195436668619,0.0004066481231723143,0.0,0.0,0.0,0.0,153.07142857142858,153.07142857142858,153.07142857142858,7.467427490906518,856.4285714285714,677.2380952380952,465.23809523809524,391.1904761904762
3,10.836448598130842,385.39719626168227,194.92990654205607,125.1355140186916,-0.7971249350988253,2.5093722213970033,0.0,121.26168224299066,7.149344440533152,272.3645477032956,0.9988227184866353,0.0005759971946901962,0.0006012843186745003,0.0,0.0,0.0,0.0,155.82242990654206,155.82242990654206,155.82242990654206,8.383236875821416,890.0046728971963,682.3271028037383,492.5981308411215,397.4065420560748
4,17.0,563.875,112.0,131.25,-1.5723169712096032,-3.9438188862247348,0.0,89.875,5.660328459669498,180.97942162127342,0.9993757802746567,0.0,0.0006242197253433209,0.0,0.0,0.0,0.0,166.875,166.875,166.875,7.126651677892589,704.75,559.375,419.625,285.125
5,25.770114942528735,835.080459770115,108.27586206896552,126.3103448275862,-0.09122955858062148,-2.413074270604312,0.0,130.5632183908046,7.357051314863891,324.42209022537924,0.9988730454586247,0.0005625220081128625,0.0005644325332624555,0.0,0.0,0.0,0.0,160.51724137931035,160.51724137931035,160.51724137931035,9.720879513617806,885.7471264367816,700.6551724137931,438.4597701149425,447.28735632183907
6,33.0,1710.030303030303,199.13636363636363,138.03030303030303,5.4903189202233165,-0.15326397006932935,0.0,132.3030303030303,7.447090157376985,298.47464898445446,0.9999437295276989,4.2521365992921586e-05,1.3749106308089974e-05,0.0,0.0,0.0,0.0,157.42424242424244,157.42424242424244,157.42424242424244,8.865317716378335,929.6666666666666,706.1212121212121,509.54545454545456,420.1212121212121
7,26.0,834.9555555555555,117.66111111111111,119.26666666666667,0.029822166370791138,-2.6466037210014255,0.0,107.17777777777778,5.915977577860615,223.78836696176384,0.9986133103856746,0.00048620153271611066,0.0009004880816093831,0.0,0.0,0.0,0.0,151.2,151.2,151.2,9.45191104578102,752.4222222222222,615.6,382.1111111111111,370.31111111111113
8,26.40983606557377,976.1639344262295,128.20534180327869,133.2622950819672,0.8123493491137378,-1.768734649280457,0.0,125.81147540983606,7.438480806920829,277.21746778718574,0.9978807375382333,0.0007361498632310011,0.001383112598535796,0.0,0.0,0.0,0.0,154.30327868852459,154.30327868852459,154.30327868852459,9.572536027796962,946.7786885245902,716.2622950819672,511.37704918032784,435.4016393442623
9,37.0,2094.0,223.0,127.5,14.051132875006436,-2.861737654318816,0.0,33.0,1.8410232681121101,23.058191559995983,1.0,0.0,0.0,0.0,0.0,0.0,0.0,178.5,178.5,178.5,7.5634584875727136,226.5,263.0,93.5,133.0
