cluster,num_songs,difficulties,min_difficulty,max_difficulty,mean_difficulty,variance_difficulty,min_notes,max_notes,mean_notes,variance_notes
0,350,"append, easy, expert, hard, master, normal",5,27,11.543067226890756,24.56806965688478,74,726,346.3897058823529,24267.52094544442
1,260,"append, expert, hard, master",18,38,29.0020202020202,10.528335991493888,739,2800,1259.7111111111112,80721.00341880346
2,271,"easy, expert, hard, master, normal",6,30,13.84634448574969,25.896956223614087,113,1109,512.2490706319703,45581.25426402347
3,387,"append, expert, hard, master",16,33,25.428402366863907,13.200140217055921,544,1765,913.298224852071,31433.489155613064
